Word,Total_Count,Romance,Thriller,Crime,Fantasy
happy,1,0,0,0,1
band,1,0,0,0,1
"brothers.""",1,0,0,0,1
“good,1,0,0,0,1
"evil,",1,0,0,0,1
"know,",1,0,0,0,1
field,2,0,1,0,1
this,2,0,1,0,1
world,2,0,1,0,1
up,2,0,1,0,1
together,2,0,1,0,1
almost,2,0,1,0,1
"inseparably.""",2,0,1,0,1
"""presume",1,0,0,0,1
am,1,0,0,0,1
"was.""",1,0,0,0,1
sun’s,1,0,0,1,0
rim,1,0,0,1,0
dips;,1,0,0,1,0
stars,1,0,0,1,0
rush,1,0,0,1,0
"out,",1,0,0,1,0
stride,1,0,0,1,0
comes,1,0,0,1,0
"""whence",2,0,0,1,1
art,2,0,0,1,1
"thou,",2,0,0,1,1
execrable,2,0,0,1,1
"shape?""",2,0,0,1,1
“where,1,0,0,0,1
god,1,0,0,0,1
hath,1,0,0,0,1
"temple,",1,0,0,0,1
devil,1,0,0,0,1
have,2,0,0,0,2
"chapel.""",1,0,0,0,1
childhood,1,0,0,0,1
shows,2,0,0,0,2
morning,1,0,0,0,1
"day.""",1,0,0,0,1
“keep,1,0,0,0,1
home,1,0,0,0,1
fires,1,0,0,0,1
"burning.""",1,0,0,0,1
natural,1,0,0,0,1
flights,1,0,0,0,1
mind,1,0,0,0,1
from,2,0,0,0,2
pleasure,1,0,0,0,1
"pleasure,",1,0,0,0,1
"hope.""",1,0,0,0,1
"""where",1,0,0,0,1
there,1,0,0,0,1
"vision,",1,0,0,0,1
people,1,0,0,0,1
"perish.""",1,0,0,0,1
nothing,1,0,0,0,1
offer,1,0,0,0,1
"blood,",1,0,0,0,1
"toil,",1,0,0,0,1
"tears,",1,0,0,0,1
"sweat.""",1,0,0,0,1
“love,1,0,0,0,1
strong,1,0,0,0,1
"death.""",1,0,0,0,1
“who,1,0,1,0,0
knows,1,0,1,0,0
evil,2,0,2,0,0
lurks,1,0,1,0,0
hearts,1,0,1,0,0
"men?""",1,0,1,0,0
"""good",1,0,1,0,0
